Poverb,Tag
"Дело спорится: что сошьем, то и распорем.",Дело
"Дело спорится: что сошьешь, то и распорется.",Бракодел
"Дело так-сяк волочится, да отстать не хочется.",Дело
Дело телячье — поел и в загородку.,Корова
"Дело толковано, что сивая подкована; надобно толковать, как бы карюю подковать.",Дело
Дело толком красно.,"Дело, Толк"
"Дело учит и кормит, а праздность добра мужа портит.",Дело
"Дело учит и кормит, а праздность и доброго портит.",Праздность
"Дело учит, и мучит, и кормит.",Дело
Дело шутки не любит.,Дело
Дело это хоть в рукавички обуй.,Дело
"Дело — в «деле», лежит под сукном.",Дело
"Дело-то забывчиво, а тело-то заплывчиво.",Забывчивость
Деловая Маланья и к обедне с прялкой пришла.,Дело
"Деловая пора ум дает, а на безделье дурь в голову лезет.",Безделье
"Делом поспешишь, так людей насмешишь.",Дело
"Делом спеши, да людей не смеши.",Дело
Делу время — потехе час.,Работа
"Делу время, а потехе час.",Дело
Дельное слово бьет больнее палки.,Слово
"Дельце мало, да хлопот много.",Дело
"Дема, сиди дома!",Имена
"Денег вволю, а еще б поболе.","Деньги, Скряга"
Денег как грязи.,Деньги
Денег куры не клюют.,Деньги
Денег много — великий грех; денег мало — грешней того.,Деньги
Денег много — мельницу заведи.,Деньги
"Денег много, да кошеля нет.",Деньги
"Денег много, да разума мало.",Деньги
"Денег нажить не много труда, а худо наживешь, и слава худа.",Деньги
Денег накопил да дури накупил.,Деньги
"Денег нет — горе, а есть — вдвое.",Деньги
Денег нет — так подушка под головой не вертится.,Деньги
"Денег нет, зато сами золото.",Деньги
"Денег нет, так и всякая цена высока.",Деньги
"Денег нет, так подушка под головой вертится.",Деньги
Денег нету — и дела нету.,Деньги
"Денег ни гроша, да речь хороша.",Речь
"Денег ни гроша, да слава хороша.","Деньги, Слава"
"Денег ни гроша, так и выдумка хороша.",Деньги
"Денег палата, да ума-то маловато.",Деньги
Денег — куры не клюют и собаки не едят.,Деньги
"Денег — куры не клюют, а склюют — значит не было.",Деньги
"Денег-то много, да не во что класть.",Деньги
Денежка беду творит.,Деньги
"Денежка без ног, а весь свет обойдет.",Деньги
"Денежка вперед, лучше горе не берет.",Деньги
Денежка дорожку прокладывает.,Деньги
"Денежка есть, так и дядюшка есть.",Деньги
"Денежка есть, так и калачики ешь, а денежки нет, так и покалачивай плешь (шутка).",Деньги
"Денежка любит счет, а хлеб — меру.",Деньги
Денежка на камне дыру вертит.,Деньги
"Денежка не бог, а бережет.",Деньги
Денежка не солжет: в беде да в нужде выручит.,Деньги
Денежка ничья не щербата.,Деньги
"Денежка рубль бережет, а рубль голову стережет.",Деньги
Денежка спать не лает.,Деньги
Денежки в кармане — все друзья с нами.,Деньги
Денежки как воробушки; в людях бывают и к нам прилетят.,Деньги
Денежки круглы: день и ночь катятся.,Деньги
Денежки круглые — весь пек катятся.,Деньги
"Денежки не рожь, и чимон растут; деньги и не лед, а зимой тают.",Деньги
Денежки счет любят.,Деньги
Денежки труд любят.,Деньги
"Денежки что детушки: куда их пошлешь, туда и сам пойдешь.",Деньги
"Денежки — воробушки, прилетели-улетели.",Деньги
Денежки — что воробушки: прилетят да опять улетят.,Деньги
"Денежки, что голуби: где обживутся, там и поведутся.",Деньги
Денежная игра не доведет до добра.,Игра
День в день.,День
День вечеру не указчик.,День
"День гуляет, два больной, а на третий выходной.",Гуляка
День да ночь и сутки прочь — так и отваливаем.,День
День да ночь и сутки прочь.,День
"День да ночь — сутки прочь, а все к смерти ближе.",Смерть
"День да ночь — сутки прочь, а все к смерти поближе.",День
"День да ночь, сутки прочь.",Время
День дню не указчик.,День
"День дню рознь: нынче тепло, а завтра мороз.",День
"День долог, а век короток.","Век, День"
День за днем к концу идем.,Смерть
День к вечеру — к смерти ближе.,День
День к ночи — ахи короче.,День
"День как день, да год не тот.",День
День кормит год.,День
День летний год кормит.,День
"День меркнет ночью, а человек печалью.",День
"День меркнет ночью, а человек — печалью.",Печаль
"День мой — век мой, а неделя — и весь живот.",День
"День мой — век мой, сегодня жить, а завтра гнить.",День
"День мой — век мой; что до нас дошло, то и к нам пришло.",День
"День на день не приходится, час на час не выпадает.",День
"День не едим, два погодим да опять не едим.",День
День от ночи отличить не хочет.,Время
"День пат, так и век наш.",День
День прежде нас родился.,День
День придет и заботу принесет.,Забота
День придет и чаботу принесет.,День
"День придет, так и заботу принесет.",День
"День пришел, до меня дошел.",День
День прозевал — урожай потерял.,Урожай
"День прошел, все свое с собой унес.",День
"День прошел, и к смерти ближе.",День
"День свят, и дела наши спят.",День
День сегодняшний — ученик вчерашнего.,"День, Сегодня"
"День спит — намается, а ночь пришла — месту рад.",День
"День темен, да ночь светла.",День
День уборки прогуляешь — много хлеба потеряешь.,Уборка [урожая]
"День утомит, ночь оживит.",Время
День хвалится вечером.,День
"День — мать, день — мачеха.",День
День-деньской — как за язык повешенный.,Болтливость
"День-то и темен, ночь не светла, коли милая не пришла.",Милый
Деньга гору бьет.,Деньги
Деньга деньгу наживает.,Деньги
Деньга деньгу родит.,Деньги
Деньга и попа в яму заведет.,Деньги
"Деньга кругла, да поката — уйдет.",Деньги
"Деньга лежит, а шкура дрожит.",Деньги
"Деньга на буден, деньга на праздник да деньга про черный день.",Деньги
Деньга покатна живет.,Деньги
Деньга попа купит и бога обманет.,"Бог, Деньги"
Деньга ум родит.,Деньги
Деньгам все повинуется.,Деньги
Деньгам нет заговенья: каждый день расход.,Деньги
"Деньгам счет, а хлебу мера.",Деньги
Деньгами души не выкупишь.,Деньги
Деньгами не укупишься.,Деньги
Деньгами чувства не купишь.,Деньги
Деньги ваши станут наши.,Деньги
"Деньги водом, добрые люди родом, а урожай хлеба годом.",Деньги
Деньги всему голова.,Деньги
Деньги всякого прельстят.,Деньги
Деньги глаза слепят.,Деньги
"Деньги да живот — и баба живет, а без денег и мужик худенек.",Деньги
"Деньги девать некуда, а кошелька купить не на что.",Алчность
"Деньги девать некуда, кошелька купить не на что.",Деньги
Деньги дело наживное.,Деньги
"Деньги для человека, а не человек для денег.",Деньги
"Деньги есть — друзья здесь, денег нет — пропал и след.",Деньги
"Деньги есть, так на печь лезь.",Деньги
Деньги идут к деньгам.,Деньги
Деньги к деньгам льнут.,Деньги
Деньги к деньгам.,Деньги
"Деньги как навоз: сегодня нет, а завтра воз.",Деньги
Деньги лучше уговора.,"Деньги, Уговор"
"Деньги любят счет, а хлеб — меру.",Деньги
Деньги на бочку!,Деньги
Деньги найдут друга.,Деньги
"Деньги не в деньгах, а в делах.",Деньги
Деньги не голова — наживное дело.,Деньги
"Деньги не грибы, можно и зимой найти.",Деньги
"Деньги не люди, лишними не будут.",Деньги
Деньги не малина — и зимой растут.,Деньги
Деньги не пахнут.,Деньги
Деньги не щепки — на полу не подымешь.,Деньги
"Деньги не щепки, на полу не подымешь.",Деньги
"Деньги не щепки, счетом крепки.",Деньги
"Деньги нужны, чтобы их тратить.",Деньги
Деньги под ногами не валяются.,Деньги
"Деньги потеряешь — можно нажить, а совесть потеряешь — беду узнаешь.",Совесть
"Деньги потерял — ничего не потерял, время потерял — все потерял!",Деньги
"Деньги потерял — ничего не потерял, время потерял — многое потерял, здоровье потерял — все потерял.",Деньги
"Деньги потерять — ничего не потерять, время потерять — много потерять, энергию потерять — все потерять.",Энергичный
Деньги при бедре помогают при беде.,Деньги
"Деньги приходят и уходят, как вода.",Деньги
"Деньги смогут много, а правда — все.","Деньги, Правда"
"Деньги счет любят, а хлеб меру.",Мера
Деньги счет любят.,"Деньги, Счет"
Деньги счетом крепки.,"Деньги, Счет"
Деньги умных любят.,Деньги
"Деньги — гости: то нет, то горсти.",Деньги
"Деньги — дело наживное, о них нечего тужить, а любовь — дело другое: ею нужно дорожить.",Любовь
"Деньги — железо, платье — тлен, а кожа всего дороже.",Деньги
"Деньги — прах, одежа тоже, а любовь всего дороже.","Деньги, Любовь"
"Деньги — склока, да без них плохо.",Деньги
"Деньги — что галки, все в стаю сбиваются.",Деньги
"Деньги — что камень, на душу ложатся.",Деньги
"Деньги — что навоз: то нет, то целый воз.",Деньги
"Деньги — что пух: только дунь на них, и нет.",Деньги
"Деньги, что каменья: тяжело на душу ложатся.",Деньги
Деньги-то с крылышками — летают.,Деньги
Деньгой кого хочешь перешибешь.,Деньги
"Деревня богата, так и город богат.",Деревня
"Деревня большая: четыре двора, восемь улиц.",Деревня
"Деревня добра, да слава худа.",Деревня
Деревня родима краше Москвы.,Деревня
"Дерево в огне сгорает, а солдат от огня крепче бывает.",Солдат
"Дерево валят туда, куда оно нагнулось.",Дерево
Дерево дереву рознь.,Дерево
"Дерево держится корнями, а человек друзьями.",Дерево
"Дерево держится корнями, а человек — друзьями.",Друг
"Дерево на дерево опирается, человек — на человека. (марийск)",Опора
Дерево не поранишь — соку не достанешь.,Дерево
"Дерево немо, а вежеству учит.",Дерево
"Дерево от плодов, а человек у дел познается.",Мастер
"Дерево по плодам, а человек по делам познается.",Дерево
"Дерево познается по плодам, а человек по делам.",Дело
Дерево с огнем не дружит.,Дерево
Дерево с одного стуку не валится.,Дерево
"Дерево скоро садят, да не скоро от него плоды едят.",Осень
"Дерево скоро садят, да не скоро с него плод едят.",Садоводство
"Дерево скоро садят, да нескоро от него плоды едят.",Дерево
"Дерево смотри в плодах, человека — в делах.",Дело
Дерево срубишь — ветви сами упадут.,Дерево
"Держалась и кобыла за оглобли, да упала.",Держаться
"Держался авоська за кебоську, да оба в воду упали.",Авось
"Держался авоська за небоську, да оба в яму упали.",Держаться
Держаться молодцевато — закон солдата.,Солдат
"Держи вожжи в руках, а выпустил — не схватишь.",Держаться
"Держи глаза на мушке, а уши на макушке.",Часовой
"Держи голову в холоде, брюхо в голоде, не знай докторов — и будешь здоров.",Здоровье
"Держи голову в холоде, живот — в голоде, а ноги — в тепле.","Держаться, Умеренность"
"Держи деньги в темноте, а девку в тесноте.","Девица, Теснота"
Держи знамя высоко — пойдешь далеко.,Знамя
Держи карман шире.,Держаться
"Держи кулак в кармане, а язык на аркане.",Болтливость
"Держи кулак в кармане, а язык — на аркане.",Язык
"Держи на уме, коли есть на чем.",Держаться
Держи порох сухим.,Бдительность
Держи расход по приходу.,Бережливость
Держи рот на замке.,Рот
Держи с народом связь — не ударишь лицом в грязь.,Народ
"Держи собаку на цепи, а язык — на семи.","Болтливость, Язык"
Держи ухо востро.,"Бдительность, Уши"
Держи ухо остро.,"Бдительность, Разведка"
Держи ушки на макушке.,"Бдительность, Уши"
Держи язык за зубами.,"Держаться, Язык"
Держи язык короче!,Язык
Держи язык на замке.,Болтливость
Держи язык на привязи (на веревочке)!,Язык
Держи язык на привязи.,"Болтливость, Держаться"
Держись берега — и рыба будет.,Держаться
"Держись друга старого, а дома нового.",Держаться
"Держись дружно: одна беда — не беда, две беды — полбеды, разброд — беда.",Разброд
"Держись за авось, поколе не сорвалось.","Авось, Держаться"
Держись за дубок — дубок в землю глубок.,Держаться
Держись за землю-матушку — она одна не выдаст.,Держаться
Держись за землю: трава обманет.,Держаться
Держись за правду — будут за тебя держаться все добрые люди.,Правда
"Держись за сошеньку, за кривую ноженьку.",Держаться
Держись крепче за рогаль (coшник) — соха прокормит.,Держаться
Держись присяги — богатырь будешь.,Присяга
"Держит книгу для модели, чтобы люди поглядели.",Учение
"Дери лыко, поколе дерется (пока не залубенело).",Своевременность
Дерись до первой крови.,Драка
"Дерись, бранись, а за своего держись.",Родня
Десятая вода на киселе.,Родня
"Десять раз отмерь, один раз отрежь.",Думать
"Десять ран прими, а стой.",Стойкость
"Детей наказывай стыдом, а не кнутом.",Дети
"Детей наказывают стыдом, а не грозою и бичом.","Наказание, Стыд"
Детей нет — в семье пустоцвет.,Дети
Детей нет — жена пустоцвет.,Дети
Детей растить — осинку глодать.,Дети
Детей учи без людей.,Дети
Детей учить — не лясы точить.,Дети
Дети за отца не отвечают.,Дети
"Дети малы, так спать не дают, а вырастут, так сам не уснешь.",Дети
"Дети не в тягость, а в радость.",Дети
"Дети отца бьют, на себя запас пасут.",Дети
"Дети родились, да никуда не годились.",Дети
Дети родителям не судьи.,Дети
"Дети, что цветы: уход любят.",Дети
Детинка с лысинкой дела не портит.,Лысый
Детинка с сединкой везде пригодится.,Дети
Детки для мамаши всегда всех краше.,Дети
"Детки за игрушки, а матки в ссору.",Дети
Детки леноваты — родители виноваты.,Дети
"Детки маленьки — поесть не дадут, детки велики — пожить не дадут.",Дети
"Детки маленьки — спать не дадут, детки велики — сам не уснешь.",Дети
Детки одной наседки.,Дети
Детки подросли — батьку растрясли.,Дети
"Детки подросли, отца растрясли, оттого растрясли, что умел отец родить, а не умел разуму научить.",Дети
Детки поспели — отца без веку доспели.,Дети
Детки поспели — отца-мать до веку доспели.,Дети
"Детки хороши — отцу-матери венец, детки плохи — отцу-матери конец.",Дети
Детки — деткам рознь.,Дети
Детки — на руках железа.,Дети
"Детки — радость, дети — горе.",Дети
Детной вдове некогда думать о себе.,Вдовство
Деточек родить — не веточек ломить.,Дети
"Детство — время золотое, ест и пьет и спит в покое.",Дети
"Детство — зелено, молодость — храбра, старость — мудра.",Дети
Детушек воспитать — не курочек пересчитать.,Дети
Детушек воспитать — не курочек перещипать.,Воспитание
"Детям не порча — игрушка, а порча — худая прислужка.",Дети
"Дешев хлеб, если деньги есть.",Дешевое
Дешева рыба на чужом блюде.,"Дешевое, Чужое"
Дешева рыбка на чужом блюде.,Рыба
Дешевле пареной репы.,Цена
"Дешево волк в пастухи нанимается, да мир подумывает.",Волк
"Дешево, да сердито.",Дешевое
Дешевое доводит до дорогого.,Цена
Дешевое натянет на дорогое.,Покупка
Дешевой покупке не радуйся.,Дешевое
Дешевому товару дешева и цена.,Цена
Дешевому товару — дешевая цена.,Дешевое
Джигит и на смерть идет улыбаясь. (кирг),Джигит
Джигит — брат джигиту. (казах),Джигит
Дим без присмотра — яма.,Обезличка
Дисциплина в полку — удар по врагу.,"Дисциплина, Полк"
Дисциплина кровь бережет.,Дисциплина
Дисциплина плоха — не победить врага.,Дисциплина
Дисциплина побеждает в бою.,Дисциплина
Дисциплина — залог победы.,Дисциплина
Дисциплина — мать победы (А. Суворов).,Дисциплина
Дисциплина — могучая сила.,Дисциплина
Дисциплина — против беспорядка плотина.,Дисциплина
Дисциплинированный воин похвалы достоин.,Дисциплина
Дисциплину держать — значит побеждать.,Дисциплина
"Дитя любит ласку, а станок — смазку.",Труд
"Дитя не заплачет, мать не услышит.",Дети
Дитя не плачет — мать не разумеет.,Дети
"Дитя не плачет, мать не разумеет.",Слезы
"Дитя падает — бог перинку подстилает, стар падает — черт борону подставляет.",Дети
"Дитя плачет, а у матери сердце болит.",Дети
"Дитя хоть и хило, да отцу с матерью мило.",Дети
"Дитя хоть криво, да отцу-матери мило.",Дети
"Дитя худенько, а отцу-матери миленько.",Дети
"Дитятко что тесто, как замесил, так и выросло.",Дети
"Дитятко, что тесто: как замесил, так и выросло.",Воспитание
"Дитятку по голове, а матери по сердцу.",Дети
Дли бог нашему теляти волка поймати.,Теленок
"Дли дело дольше, так будет хлеба больше.",Дело
Длинный язык с умом не в родстве.,"Болтливость, Язык"
Длинный язык — короткие мысли.,Язык
Для (про) глухого двух обеден не служат.,Расторопность
Для вдовы дни и ночи черны.,Вдовство
Для влюбленного и сто верст не расстояние.,Любовь
Для врага пилюля — пуля.,Пуля
Для всякого семя знай время.,Сев
Для глухого попа две обедни не служат.,Поп
"Для джигита лучше смерть, чем позор. (узб)",Джигит
Для добра трудиться — есть чем похвалиться.,Труд
Для доброго друга и вола из плуга.,Друг
Для дорогого гостя и ворота настежь.,Гость
Для дорогого друга ворота настежь.,Друг
Для друга все не туго.,Друг
Для друга нет круга.,Друг
Для друга ничего не жаль.,Друг
Для друга последний кусок отдам.,Друг
Для друга последний кусок — съем.,Друг
Для друга пост разрешается.,Друг
Для друга семь верст не крюк.,Друг
Для друга семь верст — не околица.,Друг
Для дружбы нет расстояний.,Дружба
"Для дружка и сережка из ушка, а для милого и обе вынула.",Милый
Для дружка и сережку из ушка.,Друг
"Для друзей пироги, для врагов кулаки.",Друг
"Для друзей — пироги, для врагов — кулаки.",Враг
Для дурной собаки семь верст не крюк.,Семеро
Для злой Натальи — все люди канальи.,Злой
"Для кого труд — радость, для того жизнь — счастье.",Труд
"Для красного словца не пощадит (не пожалеет) ни матери, ни отца.",Красна
Для ленивой лошади и дуга в тягость.,Лень
Для ленивой породы никогда нет доброй погоды.,Лень
Для любви нет преград.,Любовь
Для людей разумных нет препятствий трудных.,Разум
Для матери дети всегда маленькие.,Мать
Для матери плохих детей не бывает.,Мать
Для матери ребенок до ста лет детенок.,Мать
Для милого Ванечки — пельмени да шанежки.,Милый
Для милого друга не искать досуга.,Милый
Для милого дружка и сережка из ушка.,Милый
Для милого дружка и сережку из ушка.,Любовь
Для милого на жаль потерять и многого.,Милый
"Для молодой ветки согнуться — значит сломаться, для молодого джигита опозориться — значит умереть. (кирг)",Джигит
Для настоящей любви нет предела.,Любовь
Для настоящих друзей и вода сладка.,Друг
Для нашего солдата граница свята.,Граница
Для наших солдат кордон свят.,Солдат
Для наших солдат рубеж наш свят.,Граница
"Для победы нужно стоять крепко, стоять дружно.",Победа
Для победы первое дело работать умело.,Победа
Для попа темнота народа — источник дохода.,Поп
Для продажной псины кол из гнилой осины.,Предатель
Для продажной псины кол из осины.,Предатель
Для пули нужен верный глаз.,Пуля
Для растратчика первая чарка и первая палка.,Растрата
"Для родины своей ни сил, ни жизни не жалей.",Родина
Для русского солдата граница свята.,Солдат
Для самодура штука не проста — взнуздать коня с хвоста.,Самодурство
"Для себя жить — тлеть, для семьи — гореть, а для народа — светить.",Народ
Для советского солдата все слова присяги святы.,Присяга
Для советского солдата граница; свята.,Граница
"Для солдата что ни куст, то хата.",Солдат
"Для солнышка, для милой да для верного друга не искать досуга.",Досуг
Для спесивого гостя и дверь пола.,Гость
Для счета и у нас голова на плечах.,Счет
"Для тех, кто любит, и в декабре весна.",Любовь
"Для того дело тянется, что виноватый нравится.",Волокита
"Для того кузнец клещи кует, чтобы рук не жгло.",Кузнец
Для труса приказание — одно наказание.,Трусость
"Для труса, позабывшего долг, и заяц — волк.",Трусость
Для трусливого Афоньки и заяц — волк.,Трусость
Для умелого солдата нет преград на пути.,Солдат
Для учения нет старости.,Учение
"Для хорошего друга не жаль ни хлеба, ни досуга.",Друг
Для хорошего друга не жаль потерять и многого.,Друг
"Для хорошего солдата нет флангов и тыла, а везде фронт, откуда неприятель.",Маневр
Для хорошего стрелка нет плохой погоды.,Стрелок
Для хорошей работы мало умения: нужна привычка.,Привычка
Для чашников да бражников живет много праздников.,Алкоголизм
"Для чего нам ум, были б деньги да спесь.","Спесь, Тщеславие"
"Для шпиона сущий клад, кто болтлив и простоват.",Шпион
Для штыка нет тупика.,Штык
"Для щей иные женятся, для мяса замуж идут.",Замужество
"Дней много, а все впереди.",День
Днем раньше посеешь — неделей раньше пожнешь.,Сев
"Дни не копейки, годы не рубли, их из кармана не выложишь.",Время
"Дни черны с немилым мужем, а ночи еще хуже.",Муж
Дно собаки дерутся — третья не приставай.,Три
"До двух раз прощают, а в третий бьют.",Прощение
"До добра, как до ярма, до зла, как до меду.",Добро
"До лысины дожил, а ума не нажил.","Лысый, Старость, Ум"
До первого грома лягушка не квакает.,Гроза
До первой грозы лягушки не квакают.,Весна
До поры все с рук сходит.,"Воровство, Пора"
До поры до времени не сеют семени.,Сев
До россказней охотник — плохой работник.,Пустозвонство
"До седых волос дожил, а ума не нажил.","Безумный, Ум"
"До трех дней трое знали, а после трех — весь мир узнал.",Болтливость
До трех раз прощай!,Прощение
До чего народ доходит: самовар в упряжке ходит (шутка).,Изобретение
Добивайся успеха хорошего: строй быстро и дешево.,Строительство
"Добившись удач, об этом не кудахчь.",Удача
Доблесть и сила друг от друга не отстают.,Доблесть
"Доблесть не покупают, а добывают.",Доблесть
Доблесть — сестра геройства.,Доблесть
"Добр Мартын, коли есть алтын.",Добро
"Добр Мартын, коли есть алтын; худ Роман, коли пуст карман.",Деньги
"Добр волк до овец, да пасти ему не дают.","Добро, Лицемерие"
"Добр детинка, а лиха хмелинка.",Хмель
"Добр детинка, да лиха хмелинка.",Добро
"Добра была деревня, да слава худа.",Добро
"Добра весть, коли говорят: пора есть.",Добро
Добра голова сто рук кормит.,Добро
"Добра желаешь, добро и делай!",Добро
Добра и надолба приворотная.,Добро
"Добра и редька, коли рыбы нет.",Редька
"Добра ищи, а худо само придет.",Добро
"Добра мать до своих детей, а земля — до всех людей.","Добро, Земля"
Добра на худо не меняют.,Добро
"Добра не смыслишь, так худа не делай.",Добро
"Добра снедь и редька, коли нет рыбки.",Добро
"Добра соль, а переложишь — рот воротит.",Добро
"Добра соль, а переложишь — рот дерет.",Умеренность
"Добра, что клада, ищут, а худо под рукой.",Добро
"Добрая весть сама летит, худую на ворота вешают.",Добро
"Добрая весть, когда говорят: «Победа есть!»",Победа
"Добрая весть, коли говорят: «Пора есть».",Еда
Добрая жена да жирные щи — другого добра не ищи.,"Добро, Жена"
"Добрая жена дом сбережет, а плохая — рукавом разнесет.",Жена
"Добрая жена дом сбережет, а худая рукавом растрясет.",Жена
"Добрая жена дом сбережет, плохая — рукавом растрясет.",Добро
"Добрая жена мужа на ноги поставит, а злая и щей на стол не поставит.",Жена
"Добрая жена хозяйству научает, а злая от дома отлучает.",Жена
"Добрая жена — веселье, а плохая — злое зелье.",Жена
"Добрая жена — веселье, а худая — злое зелье.",Добро
"Добрая женитьба научает, а худая от дома отлучает.",Жениться
Добрая земля навоз девять лет помнит.,"Добро, Удобрение"
"Добрая земля назем раз путем примет, да девять лет помнит.",Добро
Добрая земля — полная мошна; худая земля — пустая мошна.,"Добро, Земля"
Добрая кума живет и без ума.,Добро
Добрая кума прибавит ума.,Добро
Добрая лошадь от еды согревается.,"Добро, Лошадь"
"Добрая метла в место метет, а худая — розно.",Добро
"Добрая наседка одним глазом зерно видит, а другим глазом коршуна.",Добро
"Добрая наседка одним глазом зерно видит, а другим — коршуна.",Осторожность
"Добрая наседка одним глазом зерно видит, другим коршуна.",Бдительность
"Добрая наседка одним глазом зерно видит, другим — коршуна.",Добро
Добрая отговорка стоит дела.,Отговорки
Добрая пора — пора из-за стола.,Добро
Добрая пословица ко времени молвится.,"Добро, Пословица"
"Добрая пословица не в бровь, а в глаз.",Добро
"Добрая пословица не в бровь, а прямо в глаз.",Пословица
Добрая свадьба — неделю.,Свадьба
Добрая семья прибавит разума — ума.,Добро
Добрая семья прибавит ума.,Семья
"Добрая слава бежит, а худая — летит.",Добро
"Добрая слава далеко заходит, а худая — еще дальше.","Добро, Слава"
"Добрая слава далеко ходит, а худая — дальше.",Слава
"Добрая слава далеко, а худая дальше.",Добро
"Добрая слава до порога, а худая за порог.","Добро, Слава"
Добрая слава дороже богатства.,Слава
"Добрая слава за печкой сидит, а худая по свету бежит.",Добро
"Добрая слава за печкой спит, а худая по свету бежит.",Слава
Добрая слава злому ненавистна.,Слава
"Добрая слава лежит, а дурная далеко бежит.",Слава
"Добрая слава лежит, а дурная по дорожке бежит.",Добро
"Добрая слава лежит, а худая бежит.",Плохое
Добрая слава лучше богатства.,"Добро, Слава"
Добрая слава лучше золота.,Добро
Добрая слава лучше мягкого пирога.,"Добро, Слава"
"Добрая слава под лавкой лежит, а худая по дорожке бежит.",Добро
Добрая слава — золотое ожерелье.,Слава
"Добрая слава, когда хорошо живет Савва.",Добро
"Добрая собака три раза в ночь просыпается, чтобы за своим хозяином доглядеть.",Собака
"Добрая собака три раза в ночь просыпается, чтобы за своими хозяином доглядеть.",Добро
Добрая совесть злому ненавистна.,Совесть
Добрая совесть любит обличение.,Совесть
Добрая совесть любит обличенье.,Обличать
Добрая совесть не боится клеветы.,"Добро, Клевета, Совесть"
"Добрая сплетня, что добрый лапоть: с подковыркой.",Сплетни
Добрая ссора лучше худого согласья.,Добро
Добрая шутка дружбы не рушит.,"Добро, Шутка"
"Добредет, как хан до Крыма.",Добро
Добро быть в радости и жить в сладости.,Добро
"Добро вспомянется, а лихо не забудется.",Добро
"Добро делаем — добро и снится, а худо делаем — худо и снится.",Добро
Добро делать спешить надобно.,Добро
"Добро добро, а ноги кривы.",Добро
Добро и во сне хорошо.,Добро
"Добро ищи на стороне, а дом люби по старине.",Добро
"Добро к Фоме пришло, да промеж рук ушло.",Добро
"Добро кверху, а худое ко дну.",Добро
"Добро наживай, а худо изживай.",Добро
"Добро не горит, нс тонет.",Добро
Добро не лихо — бродит тихо.,Добро
Добро не лихо — ходит тихо.,Добро
"Добро не умрет, а зло пропадет.",Добро
"Добро по миру не рекой течет, а семьей живет.",Добро
"Добро под рукой, а он худа, что клада, ищет.",Добро
"Добро помни, а зло забывай.",Добро
"Добро помни, зло забывай.",Помнить
"Добро поощряй, а зло порицай.",Добро
"Добро серебро, а золото лучше.",Добро
"Добро скоро забывается, а худое в памяти сохраняется.",Забывчивость
"Добро смолчится, а худое молвится.",Добро
Добро творить — себя веселить.,Добро
"Добро тогда будет добро, когда люди похвалят.",Добро
"Добро того учить, кто слушает.","Добро, Учение"
"Добро тому врать, кто за морем бывал.",Добро
Добро худо переможет.,Добро
"Добро, собьем ведро: обручи под лавчу, а доски в печь, так не будет течь.",Добро
Добро-то и скот понимает.,Добро
"Доброго держись, а от худого удались.",Добро
